"","register","object","baby_id","recording_id","file","accent","affect","idsness","naturalness","noise","duration","question","baby.id","grouping"
"40","ADS","yeast","3214_644","8326586228219","yeast, Baby 3214_644.8326586228219.wav",2.21428571428571,4.125,3.6,5.66666666666667,2.38461538461538,1.69537414965986,"n","3214",NA
"41","ADS","yeast","3912_121","11405378347743","yeast, Baby 3912_121.11405378347743.wav",1.71428571428571,3.375,3.2,4.27777777777778,3.15384615384615,2.42517006802721,"n","3912",NA
"42","ADS","yeast","4510_190","42389050838185","yeast, Baby 4510_190.42389050838185.wav",2.07142857142857,3.875,1.6,5.44444444444444,1.46153846153846,7.54095238095238,"n","4510",NA
"43","ADS","yeast","5_116","95457424694321","yeast, Baby 5_116.95457424694321.wav",2.21428571428571,3.875,3.9,4.88888888888889,3,3.16380952380952,"n","5",4
"44","ADS","none","1810_112","28785226540757","Baby 1810_112.28785226540757.wav",1.78571428571429,3.875,3.5,5.05555555555556,3.84615384615385,4.72625850340136,"n","1810",NA
"45","ADS","none","1810_298","1001772894327","Baby 1810_298.1001772894327.wav",2,3.375,2.8,4.22222222222222,2.15384615384615,12.3458503401361,"n","1810",8
"46","ADS","none","1810_341","78370202005016","Baby 1810_341.78370202005016.wav",2,2.875,3.9,4.61111111111111,3.15384615384615,4.92231292517007,"n","1810",1
"47","ADS","none","1810_436","785481010318","Baby 1810_436.785481010318.wav",1.85714285714286,2.625,2.4,4.44444444444444,3.23076923076923,6.09886621315193,"n","1810",NA
"48","ADS","none","1810_560","8068981305205","Baby 1810_560.8068981305205.wav",1.85714285714286,3,2.6,4.16666666666667,3.15384615384615,4.02589569160998,"n","1810",NA
"49","ADS","none","2077_113","02363282815345","Baby 2077_113.02363282815345.wav",1.85714285714286,2.375,2.1,4.27777777777778,3.38461538461538,3.50045351473923,"n","2077",1
"50","ADS","none","2077_316","3634768658419","Baby 2077_316.3634768658419.wav",2,3,2.3,4.77777777777778,2.38461538461538,7.74367346938775,"n","2077",6
"51","ADS","none","2077_325","2131190053606","Baby 2077_325.2131190053606.wav",1.92857142857143,3.75,3.7,4.83333333333333,2.92307692307692,4.40630385487528,"y","2077",5
"52","ADS","none","2077_369","75832648186525","Baby 2077_369.75832648186525.wav",2.28571428571429,2.875,1.5,4.88888888888889,2.07692307692308,5.45519274376417,"n","2077",7
"53","ADS","none","2077_392","63977244181063","Baby 2077_392.63977244181063.wav",1.5,3.875,2.7,4.94444444444444,1.69230769230769,4.16793650793651,"n","2077",2
"54","ADS","none","2077_502","3671442456944","Baby 2077_502.3671442456944.wav",2,3.125,3.6,5.16666666666667,2.23076923076923,4.35637188208617,"y","2077",NA
"55","ADS","none","2077_542","8901545374738","Baby 2077_542.8901545374738.wav",2,2.5,2,4.44444444444444,2.23076923076923,3.88657596371882,"n","2077",NA
"56","ADS","none","2874_423","9870515300145","Baby 2874_423.9870515300145.wav",2.71428571428571,3.375,3,4.72222222222222,2,3.5481179138322,"n","2874",5
"57","ADS","none","2874_470","6960809064687","Baby 2874_470.6960809064687.wav",2.07142857142857,3.5,3,5.16666666666667,2.38461538461538,4.36417233560091,"n","2874",2
"58","ADS","none","2874_498","20327264845236","Baby 2874_498.20327264845236.wav",1.92857142857143,4.125,3.3,4.66666666666667,2.30769230769231,4.38439909297052,"n","2874",2
"59","ADS","none","2874_552","9438134996509","Baby 2874_552.9438134996509.wav",1.5,4,3.1,4.77777777777778,2.30769230769231,6.02104308390023,"n","2874",NA
"60","ADS","none","2874_585","7648203732617","Baby 2874_585.7648203732617.wav",2.28571428571429,3.5,3.1,4.38888888888889,2.46153846153846,3.29750566893424,"n","2874",NA
"61","ADS","none","2874_681","2315898452964","Baby 2874_681.2315898452964.wav",2.28571428571429,2.875,2.1,4.38888888888889,2.38461538461538,5.12716553287982,"n","2874",NA
"62","ADS","none","3314 at 210","265","Baby 3314 at 210.265.wav",1.78571428571429,2.125,2.1,4.27777777777778,3.61538461538462,4.24258503401361,"n","3314",NA
"63","ADS","none","3314 at 90","785","Baby 3314 at 90.785.wav",2.64285714285714,2.875,2.2,4.88888888888889,1.53846153846154,6.76331065759637,"n","3314",4
"64","ADS","none","3912_233","49077753067155","Baby 3912_233.49077753067155.wav",2.78571428571429,3.5,2.8,5.66666666666667,2,1.68321995464853,"n","3912",7
"65","ADS","none","4_101","46068388606659","Baby 4_101.46068388606659.wav",2.28571428571429,3.375,2.8,4.33333333333333,3.23076923076923,2.76390022675737,"n","4",NA
"66","ADS","none","4_119","15118217078498","Baby 4_119.15118217078498.wav",1.35714285714286,3.375,2.5,4.33333333333333,2.23076923076923,6.64566893424036,"n","4",3
"67","ADS","none","4_139","08102763398546","Baby 4_139.08102763398546.wav",1.92857142857143,3.375,2.6,4.5,2,3.59668934240363,"n","4",NA
"68","ADS","none","4_164","8060521942662","Baby 4_164.8060521942662.wav",1.5,3.125,1.9,5.55555555555556,1.46153846153846,5.72743764172336,"n","4",NA
"69","ADS","none","4_70","21009376493727","Baby 4_70.21009376493727.wav",1.92857142857143,3.75,3,5.33333333333333,1.92307692307692,1.54582766439909,"n","4",6
"70","ADS","none","4_93","3328966173391","Baby 4_93.3328966173391.wav",1.42857142857143,3.125,1.4,4.38888888888889,1.92307692307692,7.78074829931973,"n","4",3
"71","ADS","none","4510_18","858192396783313","Baby 4510_18.858192396783313.wav",2.21428571428571,3.75,3,5.05555555555556,1.92307692307692,2.29945578231293,"n","4510",6
"72","ADS","none","4510_203","56842214889127","Baby 4510_203.56842214889127.wav",1.42857142857143,3.5,2.2,5.66666666666667,1.61538461538462,2.20235827664399,"n","4510",8
"73","ADS","none","4510_413","3546018544898","Baby 4510_413.3546018544898.wav",2.07142857142857,3.25,2.2,4.66666666666667,1.92307692307692,4.72952380952381,"n","4510",NA
"74","ADS","none","4510_450","81831091701173","Baby 4510_450.81831091701173.wav",2.14285714285714,3.625,3.6,5,2.15384615384615,3.54072562358277,"n","4510",6
"75","ADS","none","4547 at 554","549","Baby 4547 at 554.549.wav",1.85714285714286,3.5,2.4,5.16666666666667,1.38461538461538,4.17419501133787,"n","4547",4
"76","ADS","none","4547 at 646","298","Baby 4547 at 646.298.wav",2.78571428571429,4.5,3.8,4.77777777777778,1.92307692307692,2.4512925170068,"n","4547",5
"77","ADS","none","4784_217","32396004850006","Baby 4784_217.32396004850006.wav",1.85714285714286,3,2.1,4.27777777777778,1.69230769230769,6.93238095238095,"n","4784",NA
"78","ADS","none","4784_340","76037359632795","Baby 4784_340.76037359632795.wav",1.5,2.75,3.4,4.66666666666667,2.92307692307692,6.63950113378685,"n","4784",NA
"79","ADS","none","5_105","57700379351351","Baby 5_105.57700379351351.wav",1.71428571428571,4.125,3.1,4.5,3.46153846153846,5.35891156462585,"n","5",4
"80","ADS","none","5_157","4031068572158","Baby 5_157.4031068572158.wav",2.35714285714286,3.25,3.5,4.61111111111111,3.46153846153846,3.98578231292517,"n","5",NA
"81","ADS","none","5_65","53872765319125","Baby 5_65.53872765319125.wav",2.57142857142857,4.375,3.9,5.22222222222222,2.23076923076923,4.33575963718821,"n","5",7
"82","IDS","ball","2936_296","0815847200069","ball, Baby 2936_296.0815847200069.wav",2.07142857142857,5.375,5.8,4.66666666666667,2.15384615384615,2.49628117913832,"y","2936",1
"83","IDS","ball","3214_155","2472667014158","ball, Baby 3214_155.2472667014158.wav",1.57142857142857,4.75,6.2,4.72222222222222,1.84615384615385,3.14471655328798,"y","3214",NA
"84","IDS","ball","4_16","034320085213878","ball, Baby 4_16.034320085213878.wav",2.28571428571429,4,5.2,5.27777777777778,3.46153846153846,1.64102040816327,"n","4",2
"85","IDS","ball","5_65","9595859218018","ball, Baby 5_65.9595859218018.wav",1.64285714285714,5.125,5.4,5.27777777777778,2.92307692307692,1.36011337868481,"y","5",3
"86","IDS","block","4_494","49767506211765","block, Baby 4_494.49767506211765.wav",2.64285714285714,4.75,5.4,4.38888888888889,3.07692307692308,4.26328798185941,"y","4",4
"87","IDS","block","4784_742","9883388969735(1)","block, Baby 4784_742.9883388969735(1).wav",2.5,4.375,5.3,4.72222222222222,2.53846153846154,2.10625850340136,"n","4784",5
"88","IDS","cup","2077_100","09849529172934","cup, Baby 2077_100.09849529172934.wav",2.92857142857143,4,4.5,4.38888888888889,2.84615384615385,3.92952380952381,"n","2077",NA
"89","IDS","cup","2077_107","85705677543913","cup, Baby 2077_107.85705677543913.wav",2.28571428571429,4.75,6.4,4.94444444444444,2.15384615384615,3.09519274376417,"y","2077",6
"90","IDS","cup","3214_38","59791647608294","cup, Baby 3214_38.59791647608294.wav",2.35714285714286,4,5.3,4.33333333333333,1.38461538461538,2.88789115646258,"n","3214",NA
"91","IDS","cup","4547 at 402","557","cup, Baby 4547 at 402.557.wav",2.07142857142857,5.125,5.8,4.5,1.46153846153846,1.69365079365079,"n","4547",2
"92","IDS","cup","5_101","82931237904873","cup, Baby 5_101.82931237904873.wav",2.14285714285714,4.25,5.1,4.66666666666667,3.53846153846154,1.70678004535147,"n","5",8
"93","IDS","cup","5_126","14468943267546","cup, Baby 5_126.14468943267546.wav",2.14285714285714,5.25,5.6,4.88888888888889,3.46153846153846,2.00131519274376,"y","5",NA
"94","IDS","globe","4_146","74887495610417","globe, Baby 4_146.74887495610417.wav",2.14285714285714,4.375,4.7,4.33333333333333,3.76923076923077,4.52551020408163,"n","4",NA
"95","IDS","shoe","2077_478","73114244939586","shoe, Baby 2077_478.73114244939586.wav",2.14285714285714,4.625,5.5,4.77777777777778,2.30769230769231,4.57315192743764,"n","2077",3
"96","IDS","shoe","3214_146","42957350550878","shoe, Baby 3214_146.42957350550878.wav",1.92857142857143,3.375,4.5,4.22222222222222,1.53846153846154,3.40154195011338,"n","3214",1
"97","IDS","shoe","4_102","45853567202916","shoe, Baby 4_102.45853567202916.wav",1.78571428571429,4.25,4.7,5.11111111111111,3.53846153846154,3.26206349206349,"n","4",NA
"98","IDS","shoe","4_79","6376286981184","shoe, Baby 4_79.6376286981184.wav",2.64285714285714,4.625,5.5,4.77777777777778,3.76923076923077,2.14165532879819,"y","4",NA
"99","IDS","shoe","4_82","97503226141973","shoe, Baby 4_82.97503226141973.wav",2.07142857142857,4.5,5.2,4.61111111111111,3.46153846153846,4.28709750566893,"n","4",NA
"100","IDS","shoe","4510_534","6349019034208","shoe, Baby 4510_534.6349019034208.wav",1.92857142857143,5.625,6,4.61111111111111,3.76923076923077,2.9659410430839,"n","4510",NA
"101","IDS","shoe","4547 at 11","741","shoe, Baby 4547 at 11.741.wav",2.5,4.875,5.3,5.05555555555556,2,1.7875283446712,"y","4547",NA
"102","IDS","train","2077_401","6461644731435","train, Baby 2077_401.6461644731435.wav",2.85714285714286,4,4.7,4.61111111111111,2.46153846153846,2.57074829931973,"n","2077",7
"103","IDS","train","3214_391","50393768367746","train, Baby 3214_391.50393768367746.wav",1.5,4.875,5.4,5.38888888888889,2.23076923076923,2.00090702947846,"y","3214",2
"104","IDS","train","4_269","0538859282394","train, Baby 4_269.0538859282394.wav",1.57142857142857,4.625,5.2,4.88888888888889,3.69230769230769,1.61718820861678,"y","4",NA
"105","IDS","train","4784_699","5693795626885","train, Baby 4784_699.5693795626885.wav",2.42857142857143,5.5,5.9,5.05555555555556,1.15384615384615,3.03024943310658,"y","4784",NA
"106","IDS","whisk","4_371","6131959736724","whisk, Baby 4_371.6131959736724.wav",1.92857142857143,4.125,4.6,4.61111111111111,3.23076923076923,4.00104308390023,"y","4",8
"107","IDS","whisk","5_314","5604977684141","whisk, Baby 5_314.5604977684141.wav",2.5,4.875,4.7,4.5,3.46153846153846,1.9246485260771,"n","5",NA
"108","IDS","yeast","5_347","82013131422985","yeast, Baby 5_347.82013131422985.wav",2.78571428571429,4.25,4.6,4.27777777777778,2.92307692307692,1.89972789115646,"n","5",4
"109","IDS","none","1266_297","497131311381","Baby 1266_297.497131311381.wav",2.5,4.875,6,4.05555555555556,2.38461538461538,2.88208616780045,"n","1266",5
"110","IDS","none","1266_344","7847490735958","Baby 1266_344.7847490735958.wav",2.85714285714286,5.25,5.5,4.55555555555556,2.38461538461538,1.94340136054422,"y","1266",NA
"111","IDS","none","1266_386","6540619962722","Baby 1266_386.6540619962722.wav",2.71428571428571,4.5,4.3,4.72222222222222,2.15384615384615,2.10045351473923,"y","1266",5
"112","IDS","none","1810_1148","7826767146175","Baby 1810_1148.7826767146175.wav",2.42857142857143,4.75,5.8,5,2.84615384615385,1.50621315192744,"n","1810",NA
"113","IDS","none","2077_1030","7292597994947","Baby 2077_1030.7292597994947.wav",2.14285714285714,5.125,5.7,5,2.84615384615385,1.80789115646259,"y","2077",6
"114","IDS","none","2077_14","879063232058567","Baby 2077_14.879063232058567.wav",1.85714285714286,4.25,5.4,4.83333333333333,2.53846153846154,3.81034013605442,"y","2077",1
"115","IDS","none","2077_287","0942149788068","Baby 2077_287.0942149788068.wav",1.92857142857143,4.375,5.1,5.38888888888889,3.07692307692308,2.97600907029478,"y","2077",NA
"116","IDS","none","2077_486","724412738805","Baby 2077_486.724412738805.wav",2,4.75,5.8,5.33333333333333,1.92307692307692,2.30852607709751,"y","2077",8
"117","IDS","none","2077_627","1174028986043","Baby 2077_627.1174028986043.wav",2.78571428571429,5.125,5.9,4.77777777777778,1.92307692307692,2.49918367346939,"n","2077",8
"118","IDS","none","2077_639","308111816499","Baby 2077_639.308111816499.wav",2.07142857142857,4.25,5.4,5.16666666666667,3.38461538461538,3.07133786848073,"y","2077",7
"119","IDS","none","2077_653","2399541887826","Baby 2077_653.2399541887826.wav",2.85714285714286,4,5.3,4.66666666666667,1.92307692307692,3.21714285714286,"n","2077",2
"120","IDS","none","2077_681","3154526508381","Baby 2077_681.3154526508381.wav",1.85714285714286,5.125,4.8,5.05555555555556,2.61538461538462,3.1190022675737,"y","2077",1
"121","IDS","none","2077_730","1956497211921","Baby 2077_730.1956497211921.wav",2.21428571428571,4.75,4.6,5.05555555555556,1.84615384615385,4.43015873015873,"n","2077",4
"122","IDS","none","2077_740","8185060018474","Baby 2077_740.8185060018474.wav",2.35714285714286,4.75,5.1,4.94444444444444,2.61538461538462,2.85678004535147,"y","2077",2
"123","IDS","none","2077_787","8539591923895","Baby 2077_787.8539591923895.wav",2.78571428571429,4.375,5.1,5.16666666666667,3.69230769230769,1.92707482993197,"y","2077",NA
"124","IDS","none","2077_879","5171532966713","Baby 2077_879.5171532966713.wav",1.5,4.75,5.9,5.11111111111111,2.38461538461538,2.45156462585034,"y","2077",2
"125","IDS","none","2077_900","3117780947271","Baby 2077_900.3117780947271.wav",2.85714285714286,5.25,6.5,4.44444444444444,1.61538461538462,3.38122448979592,"y","2077",4
"126","IDS","none","2936_144","59510648926303","Baby 2936_144.59510648926303.wav",2.5,5.25,6.7,4.77777777777778,2.53846153846154,2.89174603174603,"y","2936",NA
"127","IDS","none","2936_147","46686891933587","Baby 2936_147.46686891933587.wav",2.64285714285714,5.25,5.9,4.16666666666667,2.61538461538462,3.54621315192744,"n","2936",6
"128","IDS","none","2936_155","95953433497698","Baby 2936_155.95953433497698.wav",2.07142857142857,4.875,6,4.77777777777778,2.07692307692308,3.60122448979592,"n","2936",5
"129","IDS","none","2936_192","8653554888671","Baby 2936_192.8653554888671.wav",2.71428571428571,6,6.7,4.33333333333333,1.61538461538462,1.81061224489796,"n","2936",8
"130","IDS","none","2936_3","5141170515042672","Baby 2936_3.5141170515042672.wav",2.42857142857143,6,6.4,4.61111111111111,3.61538461538462,6.60816326530612,"y","2936",3
"131","IDS","none","2936_335","3282845753848","Baby 2936_335.3282845753848.wav",2.14285714285714,5.25,6,5.11111111111111,1.84615384615385,1.36471655328798,"y","2936",5
"132","IDS","none","2936_406","04803014416336","Baby 2936_406.04803014416336.wav",2.14285714285714,5.625,6,4.11111111111111,2.23076923076923,2.5707029478458,"n","2936",7
"133","IDS","none","2936_417","8743349932715","Baby 2936_417.8743349932715.wav",2.07142857142857,5.75,6.6,4.88888888888889,1.53846153846154,1.64734693877551,"y","2936",8
"134","IDS","none","2936_99","56910174909278","Baby 2936_99.56910174909278.wav",2.42857142857143,5.5,6.1,4.38888888888889,2.15384615384615,2.52009070294785,"n","2936",6
"135","IDS","none","3214_81","53152246997749","Baby 3214_81.53152246997749.wav",2.21428571428571,5.5,6,4.22222222222222,1.84615384615385,3.701179138322,"n","3214",7
"136","IDS","none","4_189","90045545569708","Baby 4_189.90045545569708.wav",2.21428571428571,3.75,5.4,4.44444444444444,3.69230769230769,4.4778231292517,"n","4",6
"137","IDS","none","4_194","358287668529","Baby 4_194.358287668529.wav",1.85714285714286,4.375,5.3,5.16666666666667,3,4.2871201814059,"y","4",3
"138","IDS","none","4_201","6290743132863","Baby 4_201.6290743132863.wav",2.28571428571429,3.625,5,4.88888888888889,3.92307692307692,4.04873015873016,"n","4",NA
"139","IDS","none","4_21","772095962819797","Baby 4_21.772095962819797.wav",2.21428571428571,4.5,4.9,4.88888888888889,3.46153846153846,1.80791383219955,"y","4",8
"140","IDS","none","4_216","9059665246425","Baby 4_216.9059665246425.wav",2.5,5,6.2,5,3.76923076923077,3.92952380952381,"y","4",NA
"141","IDS","none","4_222","11379879288614","Baby 4_222.11379879288614.wav",2.28571428571429,5.625,6.3,4.94444444444444,3.07692307692308,4.0487074829932,"y","4",2
"142","IDS","none","4_379","93286628504495","Baby 4_379.93286628504495.wav",2.5,4.125,4.4,4.72222222222222,3.92307692307692,4.19176870748299,"y","4",NA
"143","IDS","none","4_44","73969689114542","Baby 4_44.73969689114542.wav",2.14285714285714,3.875,4.7,5.38888888888889,3.92307692307692,2.42768707482993,"n","4",NA
"144","IDS","none","4_502","7916898800839","Baby 4_502.7916898800839.wav",2.35714285714286,4.375,4.9,4.88888888888889,3.61538461538462,3.33356009070295,"y","4",NA
"145","IDS","none","4_527","5306735604257","Baby 4_527.5306735604257.wav",1.92857142857143,4.25,5.9,4.77777777777778,3.53846153846154,4.59700680272109,"n","4",2
"146","IDS","none","4_532","1076975332735","Baby 4_532.1076975332735.wav",1.85714285714286,3.625,4.3,4.5,3.46153846153846,5.38369614512472,"n","4",6
"147","IDS","none","4_537","4713818314366","Baby 4_537.4713818314366.wav",2.28571428571429,4.75,5.5,4.44444444444444,3.84615384615385,2.68809523809524,"n","4",NA
"148","IDS","none","4510_542","4133794672472","Baby 4510_542.4133794672472.wav",1.71428571428571,5,6.4,4.83333333333333,2.92307692307692,2.4150566893424,"y","4510",5
"149","IDS","none","4510_579","3790731401354","Baby 4510_579.3790731401354.wav",2.78571428571429,4.625,5.9,5.55555555555556,2.46153846153846,1.9118820861678,"n","4510",6
"150","IDS","none","4510_614","102959313815","Baby 4510_614.102959313815.wav",2,4.25,5.8,5.22222222222222,2.53846153846154,1.99414965986395,"y","4510",5
"151","IDS","none","4510_639","5356066570439","Baby 4510_639.5356066570439.wav",2.92857142857143,4.875,4.3,5.38888888888889,3.23076923076923,2.3075283446712,"n","4510",5
"152","IDS","none","4510_836","1680079319436","Baby 4510_836.1680079319436.wav",1.78571428571429,4.25,5.4,5.16666666666667,3.38461538461538,3.25242630385488,"n","4510",4
"153","IDS","none","5_104","18135306605845","Baby 5_104.18135306605845.wav",2.21428571428571,4.75,4.7,5.33333333333333,3.30769230769231,2.85809523809524,"n","5",1
"154","IDS","none","5_169","8693129177112","Baby 5_169.8693129177112.wav",1.85714285714286,3.5,5.6,4.66666666666667,3,2.23260770975057,"n","5",3
"155","IDS","none","5_188","7230603647254","Baby 5_188.7230603647254.wav",2.64285714285714,5.375,5.3,4.77777777777778,3.46153846153846,3.00816326530612,"n","5",NA
"156","IDS","none","5_193","0114402841952","Baby 5_193.0114402841952.wav",2.42857142857143,4.25,4.9,4.61111111111111,3,3.48718820861678,"y","5",7
"157","IDS","none","5_202","56565007451687","Baby 5_202.56565007451687.wav",1.92857142857143,4.875,5.2,4.5,3.46153846153846,4.12886621315193,"n","5",1
"158","IDS","none","5_208","5120212796304","Baby 5_208.5120212796304.wav",2.21428571428571,5.125,6.1,5,3.30769230769231,3.31219954648526,"y","5",NA
"159","IDS","none","5_231","4298284816723","Baby 5_231.4298284816723.wav",1.85714285714286,4.375,5.4,5.11111111111111,3.38461538461538,1.94587301587302,"y","5",7
"160","IDS","none","5_349","8681104663433","Baby 5_349.8681104663433.wav",1.92857142857143,4.625,5.8,4.61111111111111,3.69230769230769,3.36174603174603,"n","5",7
"161","IDS","none","5_450","2031223325161","Baby 5_450.2031223325161.wav",2.28571428571429,4.875,4.6,4.88888888888889,3.76923076923077,2.00823129251701,"n","5",NA
"162","IDS","none","5_60","95494937104302","Baby 5_60.95494937104302.wav",1.85714285714286,3.625,5.3,4.72222222222222,2.69230769230769,2.52968253968254,"n","5",8
"163","IDS","none","5_89","85002439231228","Baby 5_89.85002439231228.wav",2.07142857142857,5.375,5.9,4.88888888888889,3.15384615384615,1.71111111111111,"y","5",4
