"","register","object","baby_id","recording_id","file","accent","affect","idsness","naturalness","noise","duration","question","baby.id","grouping"
"1","ADS","ball","1266_1081","994965918577","ball, Baby 1266_1081.994965918577.wav",2.28571428571429,3.75,2.3,4.66666666666667,1.69230769230769,7.36476190476191,"n","1266",1
"2","ADS","ball","2077_12","582301715046901","ball, Baby 2077_12.582301715046901.wav",1.78571428571429,3.5,3.3,4.44444444444444,2.53846153846154,4.07256235827664,"n","2077",NA
"3","ADS","ball","3214_461","6955604692438","ball, Baby 3214_461.6955604692438.wav",2.85714285714286,3.75,3.2,4.83333333333333,2.84615384615385,2.39179138321995,"n","3214",2
"4","ADS","ball","3214_464","7267987032388","ball, Baby 3214_464.7267987032388.wav",2.42857142857143,3.5,3.2,4.05555555555556,2,4.10630385487528,"n","3214",NA
"5","ADS","ball","3314 at 104","602","ball, Baby 3314 at 104.602.wav",2.07142857142857,2.625,1.9,4.05555555555556,2.38461538461538,4.9552380952381,"n","3314",NA
"6","ADS","ball","3314 at 115","838","ball, Baby 3314 at 115.838.wav",2.42857142857143,2.25,1.7,4.22222222222222,3.38461538461538,6.43020408163265,"n","3314",NA
"7","ADS","ball","4510_341","74610580792717","ball, Baby 4510_341.74610580792717.wav",1.92857142857143,3.625,3.3,5.33333333333333,2.07692307692308,3.06598639455782,"n","4510",3
"8","ADS","block","1810_458","0540644809489","block, Baby 1810_458.0540644809489.wav",2.07142857142857,3.625,2.9,4.05555555555556,3.84615384615385,3.49365079365079,"n","1810",4
"9","ADS","block","4_184","73879609345","block, Baby 4_184.73879609345.wav",1.5,2.875,1.2,4.05555555555556,1.84615384615385,9.56455782312925,"n","4",5
"10","ADS","cup","2077_442","0700898098337","cup, Baby 2077_442.0700898098337.wav",1.5,3.375,2.1,4.55555555555556,1.84615384615385,3.64349206349206,"n","2077",NA
"11","ADS","cup","2077_447","12387234854714","cup, Baby 2077_447.12387234854714.wav",1.64285714285714,3.125,3.5,4.66666666666667,1.84615384615385,5.16916099773243,"n","2077",NA
"12","ADS","cup","2874_545","902024470267","cup, Baby 2874_545.902024470267.wav",2.5,3.75,3,4.55555555555556,2,6.34834467120181,"n","2874",6
"13","ADS","cup","3214_540","8525468070718","cup, Baby 3214_540.8525468070718.wav",1.85714285714286,3.25,2.4,5.11111111111111,2.69230769230769,2.79183673469388,"n","3214",NA
"14","ADS","cup","3214_548","2954351161833","cup, Baby 3214_548.2954351161833.wav",2.07142857142857,3,2.8,4.61111111111111,2.69230769230769,4.82072562358277,"n","3214",8
"15","ADS","cup","4_152","04239497413855","cup, Baby 4_152.04239497413855.wav",1.57142857142857,3.125,3.9,4.5,1.46153846153846,1.64324263038549,"n","4",2
"16","ADS","cup","4547 at 636","615(1)","cup, Baby 4547 at 636.615(1).wav",1.78571428571429,4.5,3.4,5.22222222222222,1.92307692307692,3.11460317460317,"n","4547",NA
"19","ADS","globe","1266_1054","4929789006917","globe, Baby 1266_1054.4929789006917.wav",2.92857142857143,4.625,3.1,4.44444444444444,1.61538461538462,9.53573696145125,"n","1266",NA
"20","ADS","globe","3214_666","742110864785","globe, Baby 3214_666.742110864785.wav",2.42857142857143,3.25,2.9,4.94444444444444,2.61538461538462,3.3271201814059,"n","3214",NA
"21","ADS","globe","4510_335","2411179172068","globe, Baby 4510_335.2411179172068.wav",2.07142857142857,4.125,2.3,4.88888888888889,1.53846153846154,6.52498866213152,"n","4510",NA
"22","ADS","shoe","2077_420","39159070410506","shoe, Baby 2077_420.39159070410506.wav",1.28571428571429,3.375,2.6,4.88888888888889,1.61538461538462,10.6996825396825,"n","2077",NA
"23","ADS","shoe","2874_479","5476071115915","shoe, Baby 2874_479.5476071115915.wav",1.92857142857143,3.375,2.6,4.83333333333333,2.15384615384615,3.78426303854875,"n","2874",3
"24","ADS","shoe","4_134","149755832785","shoe, Baby 4_134.149755832785.wav",2.07142857142857,4,2.2,4.44444444444444,1.76923076923077,4.95126984126984,"n","4",1
"25","ADS","shoe","4510_307","403956084694","shoe, Baby 4510_307.403956084694.wav",2.35714285714286,4.25,2.1,5.83333333333333,1.38461538461538,4.02721088435374,"n","4510",NA
"28","ADS","train","2077_483","6996629498416","train, Baby 2077_483.6996629498416.wav",1.92857142857143,3.375,2.6,4.61111111111111,1.84615384615385,3.59578231292517,"n","2077",NA
"29","ADS","train","2874_615","358749152172","train, Baby 2874_615.358749152172.wav",2.21428571428571,3.25,3.1,4.05555555555556,2,8.20321995464853,"n","2874",NA
"30","ADS","train","3214_709","7436105197614","train, Baby 3214_709.7436105197614.wav",1.71428571428571,3.375,3.5,4.94444444444444,2.46153846153846,2.95773242630385,"n","3214",2
"31","ADS","train","3214_747","4731669126435","train, Baby 3214_747.4731669126435.wav",2.5,2.75,2.5,4.72222222222222,2,10.1166439909297,"n","3214",7
"32","ADS","train","4510_381","13749408600387","train, Baby 4510_381.13749408600387.wav",2.78571428571429,3.875,2.7,5.16666666666667,2.15384615384615,5.10521541950113,"n","4510",NA
"33","ADS","whisk","1810_284","02024489690655","whisk, Baby 1810_284.02024489690655.wav",1.92857142857143,3.5,3,4.27777777777778,3.38461538461538,3.34498866213152,"n","1810",8
"34","ADS","whisk","2077_57","12753441367709","whisk, Baby 2077_57.12753441367709.wav",2,3.125,2.5,4.38888888888889,1.84615384615385,10.6996825396825,"n","2077",NA
"35","ADS","whisk","2077_98","85615167809891","whisk, Baby 2077_98.85615167809891.wav",1.64285714285714,2.75,2.9,5.44444444444444,1.76923076923077,12.6068027210884,"n","2077",NA
"36","ADS","whisk","3214_514","1518210676982","whisk, Baby 3214_514.1518210676982.wav",2.14285714285714,2.25,1.6,5.33333333333333,1.92307692307692,4.10630385487528,"n","3214",NA
"37","ADS","yeast","1810_129","25098395616675","yeast, Baby 1810_129.25098395616675.wav",1.78571428571429,3.125,3.7,4.44444444444444,3.15384615384615,4.75424036281179,"n","1810",NA
"38","ADS","yeast","2077_349","7339051020574","yeast, Baby 2077_349.7339051020574.wav",1.35714285714286,4.375,1.8,4.66666666666667,1.92307692307692,14.2754648526077,"n","2077",NA
"39","ADS","yeast","2874_675","6670048027384","yeast, Baby 2874_675.6670048027384.wav",2.07142857142857,3.25,3,4.05555555555556,1.69230769230769,5.58462585034014,"n","2874",NA
