Time,Action,Data
2016/08/01 14:35:56,Create,"{u'description': u'Listen to and rate audio clips of women talking. Expected to take around 20 min. Headphones helpful.', u'title': u'Audio rating study', u'url': u'https://langcog.stanford.edu/expts/manybabies_norming/stim_norming.html', u'assignment_duration': u'60 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 500, u'experimenter': u'mike', u'keywords': u'Language, experiment, rating', u'auto_approval_delay': u'5 minutes', u'reward': 3.0, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2016/08/01 14:37:05,Create,"{u'description': u'Listen to and rate audio clips of women talking. Expected to take around 20 min. Headphones helpful.', u'title': u'Audio rating study', u'url': u'https://langcog.stanford.edu/expts/manybabies_norming/stim_norming.html', u'assignment_duration': u'60 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 500, u'experimenter': u'mike', u'keywords': u'Language, experiment, rating', u'auto_approval_delay': u'5 minutes', u'reward': 3.0, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2016/08/01 16:29:11,Expire,
2016/08/01 16:29:57,Create,"{u'description': u'Listen to and rate audio clips of women talking. Expected to take a bit more than 30 min. Headphones helpful.', u'title': u'Audio rating study', u'url': u'https://langcog.stanford.edu/expts/manybabies_norming/stim_norming.html', u'assignment_duration': u'120 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 500, u'experimenter': u'mike', u'keywords': u'Language, experiment, rating', u'auto_approval_delay': u'5 minutes', u'reward': 4.0, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2016/08/02 09:59:05,Add,40 assignments
