register,object,baby_id,recording_id,file,accent,affect,idsness,naturalness,noise
ADS,ball,1266_1081,994965918577,"ball, Baby 1266_1081.994965918577.wav",2.28571428571429,3.75,2.3,4.66666666666667,1.69230769230769
ADS,ball,2077_12,582301715046901,"ball, Baby 2077_12.582301715046901.wav",1.78571428571429,3.5,3.3,4.44444444444444,2.53846153846154
ADS,ball,3214_461,6955604692438,"ball, Baby 3214_461.6955604692438.wav",2.85714285714286,3.75,3.2,4.83333333333333,2.84615384615385
ADS,ball,3214_464,7267987032388,"ball, Baby 3214_464.7267987032388.wav",2.42857142857143,3.5,3.2,4.05555555555556,2
ADS,ball,3314 at 104,602,"ball, Baby 3314 at 104.602.wav",2.07142857142857,2.625,1.9,4.05555555555556,2.38461538461538
ADS,ball,3314 at 115,838,"ball, Baby 3314 at 115.838.wav",2.42857142857143,2.25,1.7,4.22222222222222,3.38461538461538
ADS,ball,4510_341,74610580792717,"ball, Baby 4510_341.74610580792717.wav",1.92857142857143,3.625,3.3,5.33333333333333,2.07692307692308
ADS,block,1810_458,0540644809489,"block, Baby 1810_458.0540644809489.wav",2.07142857142857,3.625,2.9,4.05555555555556,3.84615384615385
ADS,block,4_184,73879609345,"block, Baby 4_184.73879609345.wav",1.5,2.875,1.2,4.05555555555556,1.84615384615385
ADS,cup,2077_442,0700898098337,"cup, Baby 2077_442.0700898098337.wav",1.5,3.375,2.1,4.55555555555556,1.84615384615385
ADS,cup,2077_447,12387234854714,"cup, Baby 2077_447.12387234854714.wav",1.64285714285714,3.125,3.5,4.66666666666667,1.84615384615385
ADS,cup,2874_545,902024470267,"cup, Baby 2874_545.902024470267.wav",2.5,3.75,3,4.55555555555556,2
ADS,cup,3214_540,8525468070718,"cup, Baby 3214_540.8525468070718.wav",1.85714285714286,3.25,2.4,5.11111111111111,2.69230769230769
ADS,cup,3214_548,2954351161833,"cup, Baby 3214_548.2954351161833.wav",2.07142857142857,3,2.8,4.61111111111111,2.69230769230769
ADS,cup,4_152,04239497413855,"cup, Baby 4_152.04239497413855.wav",1.57142857142857,3.125,3.9,4.5,1.46153846153846
ADS,cup,4547 at 636,615(1),"cup, Baby 4547 at 636.615(1).wav",1.78571428571429,4.5,3.4,5.22222222222222,1.92307692307692
ADS,flag,2874_412,1850841095442,"flag, Baby 2874_412.1850841095442.wav",2.28571428571429,2.625,2.6,4.61111111111111,3
ADS,flag,4_71,73592085823985,"flag, Baby 4_71.73592085823985.wav",1.42857142857143,3,1.8,4.94444444444444,2.15384615384615
ADS,globe,1266_1054,4929789006917,"globe, Baby 1266_1054.4929789006917.wav",2.92857142857143,4.625,3.1,4.44444444444444,1.61538461538462
ADS,globe,3214_666,742110864785,"globe, Baby 3214_666.742110864785.wav",2.42857142857143,3.25,2.9,4.94444444444444,2.61538461538462
ADS,globe,4510_335,2411179172068,"globe, Baby 4510_335.2411179172068.wav",2.07142857142857,4.125,2.3,4.88888888888889,1.53846153846154
ADS,shoe,2077_420,39159070410506,"shoe, Baby 2077_420.39159070410506.wav",1.28571428571429,3.375,2.6,4.88888888888889,1.61538461538462
ADS,shoe,2874_479,5476071115915,"shoe, Baby 2874_479.5476071115915.wav",1.92857142857143,3.375,2.6,4.83333333333333,2.15384615384615
ADS,shoe,4_134,149755832785,"shoe, Baby 4_134.149755832785.wav",2.07142857142857,4,2.2,4.44444444444444,1.76923076923077
ADS,shoe,4510_307,403956084694,"shoe, Baby 4510_307.403956084694.wav",2.35714285714286,4.25,2.1,5.83333333333333,1.38461538461538
ADS,sieve,2077_309,2595749953863,"sieve, Baby 2077_309.2595749953863.wav",1.71428571428571,2.625,2.7,4.72222222222222,2.46153846153846
ADS,sieve,4547 at 627,465,"sieve, Baby 4547 at 627.465.wav",2,4,2.1,5.83333333333333,1.84615384615385
ADS,train,2077_483,6996629498416,"train, Baby 2077_483.6996629498416.wav",1.92857142857143,3.375,2.6,4.61111111111111,1.84615384615385
ADS,train,2874_615,358749152172,"train, Baby 2874_615.358749152172.wav",2.21428571428571,3.25,3.1,4.05555555555556,2
ADS,train,3214_709,7436105197614,"train, Baby 3214_709.7436105197614.wav",1.71428571428571,3.375,3.5,4.94444444444444,2.46153846153846
ADS,train,3214_747,4731669126435,"train, Baby 3214_747.4731669126435.wav",2.5,2.75,2.5,4.72222222222222,2
ADS,train,4510_381,13749408600387,"train, Baby 4510_381.13749408600387.wav",2.78571428571429,3.875,2.7,5.16666666666667,2.15384615384615
ADS,whisk,1810_284,02024489690655,"whisk, Baby 1810_284.02024489690655.wav",1.92857142857143,3.5,3,4.27777777777778,3.38461538461538
