file,register,object,baby_id,recording_id
Baby 1810_112.28785226540757.wav,ADS,NA,1810_112,28785226540757
Baby 1810_212.33847556642402.wav,ADS,NA,1810_212,33847556642402
Baby 1810_298.1001772894327.wav,ADS,NA,1810_298,1001772894327
Baby 1810_341.78370202005016.wav,ADS,NA,1810_341,78370202005016
Baby 1810_436.785481010318.wav,ADS,NA,1810_436,785481010318
Baby 1810_560.8068981305205.wav,ADS,NA,1810_560,8068981305205
Baby 1810_88.86870410178693.wav,ADS,NA,1810_88,86870410178693
Baby 2077_113.02363282815345.wav,ADS,NA,2077_113,02363282815345
Baby 2077_316.3634768658419.wav,ADS,NA,2077_316,3634768658419
Baby 2077_325.2131190053606.wav,ADS,NA,2077_325,2131190053606
Baby 2077_369.75832648186525.wav,ADS,NA,2077_369,75832648186525
Baby 2077_392.63977244181063.wav,ADS,NA,2077_392,63977244181063
Baby 2077_502.3671442456944.wav,ADS,NA,2077_502,3671442456944
Baby 2077_542.8901545374738.wav,ADS,NA,2077_542,8901545374738
Baby 2874_423.9870515300145.wav,ADS,NA,2874_423,9870515300145
Baby 2874_470.6960809064687.wav,ADS,NA,2874_470,6960809064687
Baby 2874_492.0910270695727.wav,ADS,NA,2874_492,0910270695727
Baby 2874_498.20327264845236.wav,ADS,NA,2874_498,20327264845236
Baby 2874_552.9438134996509.wav,ADS,NA,2874_552,9438134996509
Baby 2874_585.7648203732617.wav,ADS,NA,2874_585,7648203732617
Baby 2874_681.2315898452964.wav,ADS,NA,2874_681,2315898452964
Baby 3314 at 210.265.wav,ADS,NA,3314 at 210,265
Baby 3314 at 248.176.wav,ADS,NA,3314 at 248,176
Baby 3314 at 90.785.wav,ADS,NA,3314 at 90,785
Baby 3912_189.43910293047873.wav,ADS,NA,3912_189,43910293047873
Baby 3912_233.49077753067155.wav,ADS,NA,3912_233,49077753067155
Baby 3912_246.0280238700178.wav,ADS,NA,3912_246,0280238700178
Baby 4_101.46068388606659.wav,ADS,NA,4_101,46068388606659
Baby 4_119.15118217078498.wav,ADS,NA,4_119,15118217078498
Baby 4_139.08102763398546.wav,ADS,NA,4_139,08102763398546
Baby 4_164.8060521942662.wav,ADS,NA,4_164,8060521942662
Baby 4_70.21009376493727.wav,ADS,NA,4_70,21009376493727
Baby 4_93.3328966173391.wav,ADS,NA,4_93,3328966173391
Baby 4510_115.47958435251769.wav,ADS,NA,4510_115,47958435251769
Baby 4510_132.80257160363274.wav,ADS,NA,4510_132,80257160363274
Baby 4510_18.858192396783313.wav,ADS,NA,4510_18,858192396783313
Baby 4510_203.56842214889127.wav,ADS,NA,4510_203,56842214889127
Baby 4510_222.06275079043385.wav,ADS,NA,4510_222,06275079043385
Baby 4510_277.39461602176004.wav,ADS,NA,4510_277,39461602176004
Baby 4510_386.2227425561305.wav,ADS,NA,4510_386,2227425561305
Baby 4510_413.3546018544898.wav,ADS,NA,4510_413,3546018544898
Baby 4510_450.81831091701173.wav,ADS,NA,4510_450,81831091701173
Baby 4547 at 554.549.wav,ADS,NA,4547 at 554,549
Baby 4547 at 646.298.wav,ADS,NA,4547 at 646,298
Baby 4784_115.77902044731665.wav,ADS,NA,4784_115,77902044731665
Baby 4784_217.32396004850006.wav,ADS,NA,4784_217,32396004850006
Baby 4784_282.3260484905622.wav,ADS,NA,4784_282,3260484905622
