file,register,object,baby_id,recording_id
Baby 4784_329.3687108316608.wav,ADS,NA,4784_329,3687108316608
Baby 4784_340.76037359632795.wav,ADS,NA,4784_340,76037359632795
Baby 4784_8.09470456084376.wav,ADS,NA,4784_8,09470456084376
Baby 4784_82.35264476401137.wav,ADS,NA,4784_82,35264476401137
Baby 5_105.57700379351351.wav,ADS,NA,5_105,57700379351351
Baby 5_130.5774456466338.wav,ADS,NA,5_130,5774456466338
Baby 5_157.4031068572158.wav,ADS,NA,5_157,4031068572158
Baby 5_65.53872765319125.wav,ADS,NA,5_65,53872765319125
"ball, Baby 1266_1081.994965918577.wav",ADS,ball,1266_1081,994965918577
"ball, Baby 2077_12.582301715046901.wav",ADS,ball,2077_12,582301715046901
"ball, Baby 2077_30.01383908287438.wav",ADS,ball,2077_30,01383908287438
"ball, Baby 2874_391.0200430191452.wav",ADS,ball,2874_391,0200430191452
"ball, Baby 3214_461.6955604692438.wav",ADS,ball,3214_461,6955604692438
"ball, Baby 3214_464.7267987032388.wav",ADS,ball,3214_464,7267987032388
"ball, Baby 3314 at 104.602.wav",ADS,ball,3314 at 104,602
"ball, Baby 3314 at 115.838.wav",ADS,ball,3314 at 115,838
"ball, Baby 4510_341.74610580792717.wav",ADS,ball,4510_341,74610580792717
"block, Baby 1810_458.0540644809489.wav",ADS,block,1810_458,0540644809489
"block, Baby 4_184.73879609345.wav",ADS,block,4_184,73879609345
"cup, Baby 1266_1103.6708312684427.wav",ADS,cup,1266_1103,6708312684427
"cup, Baby 2077_442.0700898098337.wav",ADS,cup,2077_442,0700898098337
"cup, Baby 2077_447.12387234854714.wav",ADS,cup,2077_447,12387234854714
"cup, Baby 2874_545.902024470267.wav",ADS,cup,2874_545,902024470267
"cup, Baby 3214_540.8525468070718.wav",ADS,cup,3214_540,8525468070718
"cup, Baby 3214_548.2954351161833.wav",ADS,cup,3214_548,2954351161833
"cup, Baby 4_152.04239497413855.wav",ADS,cup,4_152,04239497413855
"cup, Baby 4510_34.38991088014878.wav",ADS,cup,4510_34,38991088014878
"cup, Baby 4547 at 636.615(1).wav",ADS,cup,4547 at 636,615(1)
"flag, Baby 2874_412.1850841095442.wav",ADS,flag,2874_412,1850841095442
"flag, Baby 3912_15.037955853329555.wav",ADS,flag,3912_15,037955853329555
"flag, Baby 4_71.73592085823985.wav",ADS,flag,4_71,73592085823985
"flag, Baby 4784_4.515356306021673.wav",ADS,flag,4784_4,515356306021673
"globe, Baby 1266_1054.4929789006917.wav",ADS,globe,1266_1054,4929789006917
"globe, Baby 2077_166.68622689664895.wav",ADS,globe,2077_166,68622689664895
"globe, Baby 2936_636.407159425541.wav",ADS,globe,2936_636,407159425541
"globe, Baby 3214_666.742110864785.wav",ADS,globe,3214_666,742110864785
"globe, Baby 4510_335.2411179172068.wav",ADS,globe,4510_335,2411179172068
"shoe, Baby 1810_467.1777833598229.wav",ADS,shoe,1810_467,1777833598229
"shoe, Baby 2077_420.39159070410506.wav",ADS,shoe,2077_420,39159070410506
"shoe, Baby 2874_479.5476071115915.wav",ADS,shoe,2874_479,5476071115915
"shoe, Baby 3214_766.4750928238898.wav",ADS,shoe,3214_766,4750928238898
"shoe, Baby 4_134.149755832785.wav",ADS,shoe,4_134,149755832785
"shoe, Baby 4510_307.403956084694.wav",ADS,shoe,4510_307,403956084694
"sieve, Baby 2077_309.2595749953863.wav",ADS,sieve,2077_309,2595749953863
"sieve, Baby 2874_579.8183520434693.wav",ADS,sieve,2874_579,8183520434693
"sieve, Baby 2936_653.2693839485118.wav",ADS,sieve,2936_653,2693839485118
"sieve, Baby 4547 at 602.277.wav",ADS,sieve,4547 at 602,277
"sieve, Baby 4547 at 627.465.wav",ADS,sieve,4547 at 627,465
"sieve, Baby 5_63.51105939873247.wav",ADS,sieve,5_63,51105939873247
"train, Baby 2077_483.6996629498416.wav",ADS,train,2077_483,6996629498416
"train, Baby 2874_615.358749152172.wav",ADS,train,2874_615,358749152172
"train, Baby 3214_709.7436105197614.wav",ADS,train,3214_709,7436105197614
"train, Baby 3214_747.4731669126435.wav",ADS,train,3214_747,4731669126435
"train, Baby 4510_381.13749408600387.wav",ADS,train,4510_381,13749408600387
"whisk, Baby 1810_284.02024489690655.wav",ADS,whisk,1810_284,02024489690655
"whisk, Baby 2077_57.12753441367709.wav",ADS,whisk,2077_57,12753441367709
"whisk, Baby 2077_98.85615167809891.wav",ADS,whisk,2077_98,85615167809891
"whisk, Baby 2874_435.7926817225463.wav",ADS,whisk,2874_435,7926817225463
"whisk, Baby 2936_506.30553451466204.wav",ADS,whisk,2936_506,30553451466204
"whisk, Baby 3214_514.1518210676982.wav",ADS,whisk,3214_514,1518210676982
"whisk, Baby 3314 at 214.515.wav",ADS,whisk,3314 at 214,515
"whisk, Baby 5_139.08118150122942.wav",ADS,whisk,5_139,08118150122942
"yeast, Baby 1810_129.25098395616675.wav",ADS,yeast,1810_129,25098395616675
"yeast, Baby 2077_349.7339051020574.wav",ADS,yeast,2077_349,7339051020574
"yeast, Baby 2874_675.6670048027384.wav",ADS,yeast,2874_675,6670048027384
"yeast, Baby 3214_620.3920087002338.wav",ADS,yeast,3214_620,3920087002338
"yeast, Baby 3214_644.8326586228219.wav",ADS,yeast,3214_644,8326586228219
"yeast, Baby 3912_121.11405378347743.wav",ADS,yeast,3912_121,11405378347743
"yeast, Baby 4510_190.42389050838185.wav",ADS,yeast,4510_190,42389050838185
"yeast, Baby 5_116.95457424694321.wav",ADS,yeast,5_116,95457424694321
Baby 1266_154.14809393032257.wav,IDS,NA,1266_154,14809393032257
Baby 1266_162.60786237046568.wav,IDS,NA,1266_162,60786237046568
Baby 1266_290.9275872076564.wav,IDS,NA,1266_290,9275872076564
Baby 1266_297.497131311381.wav,IDS,NA,1266_297,497131311381
Baby 1266_344.7847490735958.wav,IDS,NA,1266_344,7847490735958
Baby 1266_386.6540619962722.wav,IDS,NA,1266_386,6540619962722
Baby 1810_1017.5754052263309.wav,IDS,NA,1810_1017,5754052263309
Baby 1810_1148.7826767146175.wav,IDS,NA,1810_1148,7826767146175
Baby 1810_662.77102273508.wav,IDS,NA,1810_662,77102273508
Baby 1810_792.9934263350068.wav,IDS,NA,1810_792,9934263350068
Baby 1810_880.1674289728155.wav,IDS,NA,1810_880,1674289728155
Baby 2077_1030.7292597994947.wav,IDS,NA,2077_1030,7292597994947
Baby 2077_14.879063232058567.wav,IDS,NA,2077_14,879063232058567
Baby 2077_287.0942149788068.wav,IDS,NA,2077_287,0942149788068
Baby 2077_298.43773570482466.wav,IDS,NA,2077_298,43773570482466
Baby 2077_377.207911515445.wav,IDS,NA,2077_377,207911515445
Baby 2077_486.724412738805.wav,IDS,NA,2077_486,724412738805
Baby 2077_543.2879661852369.wav,IDS,NA,2077_543,2879661852369
Baby 2077_627.1174028986043.wav,IDS,NA,2077_627,1174028986043
Baby 2077_639.308111816499.wav,IDS,NA,2077_639,308111816499
Baby 2077_653.2399541887826.wav,IDS,NA,2077_653,2399541887826
Baby 2077_681.3154526508381.wav,IDS,NA,2077_681,3154526508381
Baby 2077_730.1956497211921.wav,IDS,NA,2077_730,1956497211921
Baby 2077_740.8185060018474.wav,IDS,NA,2077_740,8185060018474
Baby 2077_787.8539591923895.wav,IDS,NA,2077_787,8539591923895
Baby 2077_879.5171532966713.wav,IDS,NA,2077_879,5171532966713
Baby 2077_900.3117780947271.wav,IDS,NA,2077_900,3117780947271
Baby 2936_144.59510648926303.wav,IDS,NA,2936_144,59510648926303
Baby 2936_147.46686891933587.wav,IDS,NA,2936_147,46686891933587
Baby 2936_155.95953433497698.wav,IDS,NA,2936_155,95953433497698
Baby 2936_192.8653554888671.wav,IDS,NA,2936_192,8653554888671
Baby 2936_228.4663124964059.wav,IDS,NA,2936_228,4663124964059
Baby 2936_3.5141170515042672.wav,IDS,NA,2936_3,5141170515042672
Baby 2936_316.2384873069083.wav,IDS,NA,2936_316,2384873069083
Baby 2936_335.3282845753848.wav,IDS,NA,2936_335,3282845753848
Baby 2936_406.04803014416336.wav,IDS,NA,2936_406,04803014416336
Baby 2936_417.8743349932715.wav,IDS,NA,2936_417,8743349932715
Baby 2936_99.56910174909278.wav,IDS,NA,2936_99,56910174909278
Baby 3214_81.53152246997749.wav,IDS,NA,3214_81,53152246997749
Baby 3314 at 568.463.wav,IDS,NA,3314 at 568,463
Baby 4_109.9676936894571.wav,IDS,NA,4_109,9676936894571
Baby 4_143.24641872335704.wav,IDS,NA,4_143,24641872335704
Baby 4_152.78003996692723.wav,IDS,NA,4_152,78003996692723
Baby 4_154.80632070178874.wav,IDS,NA,4_154,80632070178874
Baby 4_165.74460165260246.wav,IDS,NA,4_165,74460165260246
Baby 4_189.90045545569708.wav,IDS,NA,4_189,90045545569708
Baby 4_194.358287668529.wav,IDS,NA,4_194,358287668529
Baby 4_198.62539651017852.wav,IDS,NA,4_198,62539651017852
Baby 4_201.6290743132863.wav,IDS,NA,4_201,6290743132863
Baby 4_21.772095962819797.wav,IDS,NA,4_21,772095962819797
Baby 4_216.9059665246425.wav,IDS,NA,4_216,9059665246425
Baby 4_222.11379879288614.wav,IDS,NA,4_222,11379879288614
Baby 4_345.6492426006938.wav,IDS,NA,4_345,6492426006938
Baby 4_349.12969234141605.wav,IDS,NA,4_349,12969234141605
Baby 4_379.93286628504495.wav,IDS,NA,4_379,93286628504495
Baby 4_436.27456184312365.wav,IDS,NA,4_436,27456184312365
Baby 4_44.73969689114542.wav,IDS,NA,4_44,73969689114542
Baby 4_458.45182670125496.wav,IDS,NA,4_458,45182670125496
Baby 4_502.7916898800839.wav,IDS,NA,4_502,7916898800839
Baby 4_527.5306735604257.wav,IDS,NA,4_527,5306735604257
Baby 4_532.1076975332735.wav,IDS,NA,4_532,1076975332735
Baby 4_537.4713818314366.wav,IDS,NA,4_537,4713818314366
Baby 4_75.07710244926915.wav,IDS,NA,4_75,07710244926915
Baby 4510_542.4133794672472.wav,IDS,NA,4510_542,4133794672472
Baby 4510_579.3790731401354.wav,IDS,NA,4510_579,3790731401354
Baby 4510_614.102959313815.wav,IDS,NA,4510_614,102959313815
Baby 4510_639.5356066570439.wav,IDS,NA,4510_639,5356066570439
Baby 4510_750.1077485865037.wav,IDS,NA,4510_750,1077485865037
Baby 4510_836.1680079319436.wav,IDS,NA,4510_836,1680079319436
Baby 5_104.18135306605845.wav,IDS,NA,5_104,18135306605845
Baby 5_169.8693129177112.wav,IDS,NA,5_169,8693129177112
Baby 5_172.08192734715217.wav,IDS,NA,5_172,08192734715217
Baby 5_188.7230603647254.wav,IDS,NA,5_188,7230603647254
Baby 5_193.0114402841952.wav,IDS,NA,5_193,0114402841952
Baby 5_202.56565007451687.wav,IDS,NA,5_202,56565007451687
Baby 5_208.5120212796304.wav,IDS,NA,5_208,5120212796304
Baby 5_231.4298284816723.wav,IDS,NA,5_231,4298284816723
Baby 5_236.97966194091387.wav,IDS,NA,5_236,97966194091387
Baby 5_349.8681104663433.wav,IDS,NA,5_349,8681104663433
Baby 5_450.2031223325161.wav,IDS,NA,5_450,2031223325161
Baby 5_60.95494937104302.wav,IDS,NA,5_60,95494937104302
Baby 5_89.85002439231228.wav,IDS,NA,5_89,85002439231228
"ball, Baby 2077_132.31916232186742.wav",IDS,ball,2077_132,31916232186742
"ball, Baby 2936_296.0815847200069.wav",IDS,ball,2936_296,0815847200069
"ball, Baby 3214_155.2472667014158.wav",IDS,ball,3214_155,2472667014158
"ball, Baby 4_16.034320085213878.wav",IDS,ball,4_16,034320085213878
"ball, Baby 4_36.49519137179645.wav",IDS,ball,4_36,49519137179645
"ball, Baby 4_58.10583836671947.wav",IDS,ball,4_58,10583836671947
"ball, Baby 5_379.32423854994346.wav",IDS,ball,5_379,32423854994346
"ball, Baby 5_65.9595859218018.wav",IDS,ball,5_65,9595859218018
"block, Baby 4_494.49767506211765.wav",IDS,block,4_494,49767506211765
"block, Baby 4784_742.9883388969735(1).wav",IDS,block,4784_742,9883388969735(1)
"cup, Baby 2077_100.09849529172934.wav",IDS,cup,2077_100,09849529172934
"cup, Baby 2077_107.85705677543913.wav",IDS,cup,2077_107,85705677543913
"cup, Baby 3214_38.59791647608294.wav",IDS,cup,3214_38,59791647608294
"cup, Baby 4_405.8106227338113.wav",IDS,cup,4_405,8106227338113
"cup, Baby 4547 at 402.557.wav",IDS,cup,4547 at 402,557
"cup, Baby 5_101.82931237904873.wav",IDS,cup,5_101,82931237904873
"cup, Baby 5_126.14468943267546.wav",IDS,cup,5_126,14468943267546
"flag, Baby 4_231.4823673670105.wav",IDS,flag,4_231,4823673670105
"globe, Baby 4_146.74887495610417.wav",IDS,globe,4_146,74887495610417
"shoe, Baby 1266_268.5571572972691.wav",IDS,shoe,1266_268,5571572972691
"shoe, Baby 2077_478.73114244939586.wav",IDS,shoe,2077_478,73114244939586
"shoe, Baby 2936_435.60356292496397.wav",IDS,shoe,2936_435,60356292496397
"shoe, Baby 3214_146.42957350550878.wav",IDS,shoe,3214_146,42957350550878
"shoe, Baby 4_102.45853567202916.wav",IDS,shoe,4_102,45853567202916
"shoe, Baby 4_79.6376286981184.wav",IDS,shoe,4_79,6376286981184
"shoe, Baby 4_82.97503226141973.wav",IDS,shoe,4_82,97503226141973
"shoe, Baby 4510_534.6349019034208.wav",IDS,shoe,4510_534,6349019034208
"shoe, Baby 4547 at 11.741.wav",IDS,shoe,4547 at 11,741
"shoe, Baby 4547 at 32.820.wav",IDS,shoe,4547 at 32,820
"train, Baby 2077_401.6461644731435.wav",IDS,train,2077_401,6461644731435
"train, Baby 3214_391.50393768367746.wav",IDS,train,3214_391,50393768367746
"train, Baby 4_269.0538859282394.wav",IDS,train,4_269,0538859282394
"train, Baby 4_324.2806594621357.wav",IDS,train,4_324,2806594621357
"train, Baby 4_327.592406919837.wav",IDS,train,4_327,592406919837
"train, Baby 4784_699.5693795626885.wav",IDS,train,4784_699,5693795626885
"whisk, Baby 4_342.74093378124553.wav",IDS,whisk,4_342,74093378124553
"whisk, Baby 4_371.6131959736724.wav",IDS,whisk,4_371,6131959736724
"whisk, Baby 5_314.5604977684141.wav",IDS,whisk,5_314,5604977684141
"yeast, Baby 5_347.82013131422985.wav",IDS,yeast,5_347,82013131422985
