Filename;Pitchmean;Pitchmin;Pitchmax
Baby 1266_154.14809393032257.wav;287.1768760073097;149.1498028855059;489.26865666267474;
Baby 1266_162.60786237046568.wav;268.83030753276074;149.41590063870282;436.85495600348366;
Baby 1266_290.9275872076564.wav;251.33309474336642;122.83437031061241;437.1677073740353;
Baby 1266_297.497131311381.wav;274.6373808543054;143.11891121813525;397.95422533401444;
Baby 1266_344.7847490735958.wav;241.46561714575617;190.04140340100992;414.9456023629173;
Baby 1266_386.6540619962722.wav;243.8134679473847;163.76342757044506;413.6251420639707;
Baby 1810_1017.5754052263309.wav;254.65751447529118;173.73760295529914;589.5799055324421;
Baby 1810_112.28785226540757.wav;198.71748051443296;91.0590897333633;546.280714251955;
Baby 1810_1148.7826767146175.wav;249.3289149908053;176.1363504890737;405.48519342627253;
Baby 1810_212.33847556642402.wav;204.47242309952375;115.04016340000278;281.51935877610185;
Baby 1810_298.1001772894327.wav;191.22744417592756;90.46873900615185;553.955781888157;
Baby 1810_341.78370202005016.wav;187.78008027718812;104.09639671926114;477.8031400868414;
Baby 1810_436.785481010318.wav;177.1415713649109;100.78355214903914;231.02683507563827;
Baby 1810_560.8068981305205.wav;190.3651830765947;160.05655219804996;445.8545278424822;
Baby 1810_662.77102273508.wav;222.90075454580835;101.58333688694943;592.6015236443874;
Baby 1810_792.9934263350068.wav;255.6276179832928;179.35051885144057;457.5300031130174;
Baby 1810_88.86870410178693.wav;190.39362225135204;100.04682685453368;290.3193682482864;
Baby 1810_880.1674289728155.wav;211.85768149446253;179.5169015181564;326.2443022320874;
Baby 2077_1030.7292597994947.wav;298.2796887025516;228.14319407345567;435.8699180214998;
Baby 2077_113.02363282815345.wav;186.09090941344792;100.17397257752387;345.37810397535765;
Baby 2077_14.879063232058567.wav;224.44562300326817;139.68936907236161;466.19329632431015;
Baby 2077_287.0942149788068.wav;219.4740608347211;157.74628647125456;599.6533866260414;
Baby 2077_298.43773570482466.wav;223.9461364675012;176.30214207670616;599.300120304345;
Baby 2077_316.3634768658419.wav;174.2728990919426;100.16840230530703;219.2850495554701;
Baby 2077_325.2131190053606.wav;177.59291080849775;153.00355167105306;213.71792901376563;
Baby 2077_369.75832648186525.wav;284.0785070920484;147.7725644592213;595.344319050861;
Baby 2077_377.207911515445.wav;277.91556463596027;153.18327349119244;454.4550563771378;
Baby 2077_392.63977244181063.wav;225.1126212358234;105.07389168671546;591.5992368110359;
Baby 2077_486.724412738805.wav;250.4990931655106;158.06454631344303;612.0736316010361;
Baby 2077_502.3671442456944.wav;199.03699597871437;120.26849131007123;548.0584339696109;
Baby 2077_542.8901545374738.wav;172.49537267162526;94.37396332744314;228.99829354421192;
Baby 2077_543.2879661852369.wav;171.33978154385383;138.4676261592218;226.89982830100257;
Baby 2077_627.1174028986043.wav;321.150544545723;276.7608733250095;468.2597894968272;
Baby 2077_639.308111816499.wav;215.31554695034956;136.05665037821905;377.78387801253524;
Baby 2077_653.2399541887826.wav;291.66739895430334;110.35626897253331;606.9803395368817;
Baby 2077_681.3154526508381.wav;212.36110645352096;127.36117588336414;512.5381594506816;
Baby 2077_730.1956497211921.wav;203.5991637038753;143.75787966969543;411.3645966064979;
Baby 2077_740.8185060018474.wav;206.41718677092746;100.69042964700508;417.92678802798645;
Baby 2077_787.8539591923895.wav;301.9938836759434;148.35538350911077;417.0399797148566;
Baby 2077_879.5171532966713.wav;255.64432133427147;130.79215832814577;549.4467403877355;
Baby 2077_900.3117780947271.wav;287.31690136994285;111.88883157066401;571.7177762546927;
Baby 2874_423.9870515300145.wav;190.9248906066134;92.77585813768783;258.6869395886235;
Baby 2874_470.6960809064687.wav;217.67605928886283;180.07814423228328;554.18982258753;
Baby 2874_492.0910270695727.wav;210.93007360192132;98.66348709473175;550.3958297700223;
Baby 2874_498.20327264845236.wav;216.92560678791793;102.66774556715343;586.1508181370168;
Baby 2874_552.9438134996509.wav;248.70387165831838;116.11687488569567;566.321997351406;
Baby 2874_585.7648203732617.wav;207.97600020450753;90.08556162425579;267.10058987320747;
Baby 2874_681.2315898452964.wav;202.99602636061346;92.30835833755523;288.9985926023442;
Baby 2936_144.59510648926303.wav;197.19210139147958;131.79584043745257;300.56124655963947;
Baby 2936_147.46686891933587.wav;195.83865661224192;155.44691601592098;358.8069585286481;
Baby 2936_155.95953433497698.wav;228.71939190968263;101.42808084473799;415.27542729241685;
Baby 2936_192.8653554888671.wav;253.95246104127557;100.27875708166529;493.3715924140255;
Baby 2936_228.4663124964059.wav;247.6880001155605;144.45802265081593;445.1138971154592;
Baby 2936_3.5141170515042672.wav;262.6157957240926;157.3001298810818;481.1078690899894;
Baby 2936_316.2384873069083.wav;216.06977836746566;104.45539454739878;351.07432831369874;
Baby 2936_335.3282845753848.wav;226.20824785508705;180.97762509285212;447.04612575146734;
Baby 2936_406.04803014416336.wav;281.45908934769386;175.74209256498673;590.2684522297164;
Baby 2936_417.8743349932715.wav;261.2125509187779;108.3692378224303;585.1489553924987;
Baby 2936_99.56910174909278.wav;239.37758391963544;153.86759002479752;505.74452061256085;
Baby 3214_81.53152246997749.wav;276.7334625119629;115.77235194448245;589.5732454474535;
Baby 3314 at 210.265.wav;134.67236271554492;106.39239125597557;165.12560204247873;
Baby 3314 at 248.176.wav;159.80197672642325;100.10685068923628;292.56984078272524;
Baby 3314 at 568.463.wav;202.40863763730576;158.3975916199263;340.12323351257453;
Baby 3314 at 90.785.wav;148.6093950964276;101.13482542011538;428.399387048881;
Baby 3912_189.43910293047873.wav;205.76302037431395;101.26240038398923;275.773189432732;
Baby 3912_233.49077753067155.wav;199.84921873709428;160.03384447311726;241.07232064407395;
Baby 3912_246.0280238700178.wav;213.0352865139568;100.84392578404653;509.35105665029323;
Baby 4510_115.47958435251769.wav;221.1302745369555;98.39769311028195;460.47249793234374;
Baby 4510_132.80257160363274.wav;221.41572989011394;109.46657954439996;400.8001897433053;
Baby 4510_18.858192396783313.wav;215.23480775545073;197.73468714979526;272.8353013481802;
Baby 4510_203.56842214889127.wav;212.95470356462883;161.71710405464464;275.5046578538161;
Baby 4510_222.06275079043385.wav;231.61050924448685;178.52027333060246;542.6548662852664;
Baby 4510_277.39461602176004.wav;240.2007219927213;100.27922319777184;386.0305813324642;
Baby 4510_386.2227425561305.wav;222.70644024062446;177.6264730704214;422.2769813739995;
Baby 4510_413.3546018544898.wav;198.11353511251377;100.47355157338986;494.38943150221104;
Baby 4510_450.81831091701173.wav;211.4732417321265;165.32654357147575;386.3672828303368;
Baby 4510_542.4133794672472.wav;257.3116359276928;159.60223660418532;551.1508754460293;
Baby 4510_579.3790731401354.wav;277.62946436926103;159.70242297573722;592.3555462547666;
Baby 4510_614.102959313815.wav;260.9908058642407;201.22459175090177;402.37338643591056;
Baby 4510_639.5356066570439.wav;231.03050010589823;161.21811211381356;354.18753754978627;
Baby 4510_750.1077485865037.wav;276.22320060375574;169.9884892644242;580.0017538991575;
Baby 4510_836.1680079319436.wav;233.01636519424764;125.48487625962044;302.4787079956466;
Baby 4547 at 554.549.wav;167.78297412078015;106.65685946121083;511.5010004675551;
Baby 4547 at 646.298.wav;179.47468030348065;156.4535523154761;332.6202796603421;
Baby 4784_115.77902044731665.wav;180.9924857197505;150.51869948259787;247.0594988951215;
Baby 4784_217.32396004850006.wav;182.23517888313;163.2211651450337;234.89156201537259;
Baby 4784_282.3260484905622.wav;186.9446504443709;168.15846741014596;308.1572236264458;
Baby 4784_329.3687108316608.wav;222.35436538172124;168.2028959326915;570.2611744040788;
Baby 4784_340.76037359632795.wav;178.90366562865404;165.43642407833175;204.36156567786026;
Baby 4784_8.09470456084376.wav;198.32545542582045;146.41540761662483;336.75092773384137;
Baby 4784_82.35264476401137.wav;197.14117676511196;101.24464796795718;257.7522990121746;
Baby 4_101.46068388606659.wav;173.76338439377776;110.11137473471143;255.54704431381103;
Baby 4_109.9676936894571.wav;177.10792370723806;113.40330964341227;239.45174554369083;
Baby 4_119.15118217078498.wav;186.68998124740577;104.59694588340523;584.74511717323;
Baby 4_139.08102763398546.wav;183.01444064110873;150.183541407791;567.5918821787553;
Baby 4_143.24641872335704.wav;206.97773915098267;87.23882347298843;314.25226713832467;
Baby 4_152.78003996692723.wav;188.4490667699002;155.51864690559867;325.77476513667733;
Baby 4_154.80632070178874.wav;199.29410593974384;157.26414179743006;260.28745929072517;
Baby 4_164.8060521942662.wav;269.37668989228536;111.12178022783213;600.2041805732173;
Baby 4_165.74460165260246.wav;208.3788534942998;119.8761949824508;346.3313218451121;
Baby 4_189.90045545569708.wav;187.58279514985276;129.55140355147572;289.9226408991642;
Baby 4_194.358287668529.wav;209.97772530455728;155.7252961294052;336.7755247380479;
Baby 4_198.62539651017852.wav;206.85333743802033;153.78082969863075;312.0862311808979;
Baby 4_201.6290743132863.wav;192.05546465693027;138.07556332935286;302.5107680737295;
Baby 4_21.772095962819797.wav;204.24934241671377;131.32815513295753;349.19598326998675;
Baby 4_216.9059665246425.wav;221.80618959493412;150.92122820642896;365.2583459461448;
Baby 4_222.11379879288614.wav;216.53927453683247;155.12100266416533;448.04586585531206;
Baby 4_345.6492426006938.wav;186.8991707214652;108.43209451583046;487.86739589083834;
Baby 4_349.12969234141605.wav;201.1914333022899;146.83156155489246;312.53947474211634;
Baby 4_379.93286628504495.wav;184.64671485745407;132.54990662503394;277.7173620553895;
Baby 4_436.27456184312365.wav;216.07308865284799;188.46927844531734;263.5416252033309;
Baby 4_44.73969689114542.wav;198.68397992503492;131.01677643980312;294.67872426679827;
Baby 4_458.45182670125496.wav;188.22880012940877;145.58883398406604;226.95591257184654;
Baby 4_502.7916898800839.wav;178.86278933643362;119.13626363789314;355.03220757691963;
Baby 4_527.5306735604257.wav;191.16655015396478;144.52605698582514;303.820690026545;
Baby 4_532.1076975332735.wav;190.94569416996893;134.6427553647976;278.259862572179;
